Area_type,Location,Room size,Square_ft,Bathroom,Parking,Balcony,price_old,availability,Age
Built up  Area,Sampangi Rama Nagar,2,1200,2,Yes,1,125,Ready To Move,2017
Super built up  Area,Hennur Road,3,1192,2,Yes,1,62,Ready To Move,2017
Super built up  Area,Hebbal,3,1645,3,Yes,2,121,19-Jun,2015
Super built up  Area,Whitefield,2,1250,2,Yes,2,72,Ready To Move,2017
Super built up  Area,Whitefield,1,524894,1,Yes,0,34.385,19-Dec,2017
Super built up  Area,Whitefield,2,1340,2,Yes,1,77,Ready To Move,2017
Built up  Area,Cooke Town,3,2388,4,Yes,3,239,Ready To Move,2018
Super built up  Area,Hosa Road,2,1369,2,Yes,1,104,18-Jun,2017
Super built up  Area,Jalahalli West,2,1355,2,Yes,3,75,Ready To Move,2017
Built up  Area,Bannerghatta Road,2,1150,2,Yes,2,65,Ready To Move,2017
Super built up  Area,Kanakapura,3,1938,3,Yes,3,113,19-Dec,2015
Super built up  Area,Begur Road,4,2462,4,Yes,3,124,19-Jun,2018
Super built up  Area,Budigere,3,1636,3,Yes,2,85,Ready To Move,2015
Super built up  Area,Akshaya Nagar,3,1430,2,Yes,2,75,Ready To Move,2017
Super built up  Area,BEML Layout 5th stage,3,2000,3,Yes,2,85,Ready To Move,2015
Carpet  Area,Electronic City Phase II,3,993,2,Yes,2,50,18-May,2017
Plot  Area,Laggere,4,1260,4,Yes,1,150,Ready To Move,2018
Super built up  Area,Kanakpura Road,3,1700,3,Yes,3,88,Ready To Move,2015
Super built up  Area,Yelahanka,2,1270,2,Yes,2,78,Ready To Move,2017
Plot  Area,Anjanapura,3,1500,3,Yes,1,121,18-Apr,2015
Built up  Area,Koramangala,3,2300,3,Yes,3,290,Ready To Move,2015
Plot  Area,Hunasamaranahalli,4,7500,4,Yes,2,900,18-Mar,2018
Super built up  Area,Marathahalli,3,1650,3,Yes,3,86.45,Ready To Move,2015
Super built up  Area,Panathur,2,1109,2,Yes,1,63,Ready To Move,2017
Super built up  Area,Pragathi Nagar,2,1280,2,Yes,1,49.75,Ready To Move,2017
Built up  Area,Sarjapur,4,2885,3,Yes,1,185,Ready To Move,2015
Plot  Area,Banashankari,9,1200,9,Yes,1,145,Ready To Move,2021
Plot  Area,Devanahalli,3,1600,3,Yes,2,180,Ready To Move,2015
Super built up  Area,Kothanur,3,1462,3,Yes,3,71,Ready To Move,2015
Super built up  Area,Marathahalli,1,607,1,Yes,1,35,19-Mar,2017
Super built up  Area,Kammasandra,2,930,2,Yes,0,25,Ready To Move,2017
Plot  Area,Varthur,4,4500,5,Yes,2,300,17-Nov,2019
Plot  Area,Sahakara Nagar,5,1200,5,Yes,,160,Ready To Move,2019
Super built up  Area,Malleshwaram,3,2600,3,Yes,1,237,Ready To Move,2015
Super built up  Area,JP Nagar,4,3000,4,Yes,2,140,Ready To Move,2018
Super built up  Area,Electronic City Phase II,3,1418,3,Yes,2,52.47,18-May,2015
Built up  Area,Ramesh Nagar,2,4200,1,Yes,2,160,Ready To Move,2017
Built up  Area,EPIP Zone,2,1125,2,Yes,1,65,Ready To Move,2017
Super built up  Area,CV Raman Nagar,3,1825,3,Yes,2,126,Ready To Move,2015
Super built up  Area,Whitefield,2,1320,2,Yes,3,79.5,Ready To Move,2017
Built up  Area,JP Nagar,4,3000,4,Yes,2,140,Ready To Move,2018
Super built up  Area,HAL 2nd Stage,3,1490,2,Yes,2,300,Ready To Move,2017
Plot  Area,8th block Koramangala,4,1650,3,Yes,1,300,Ready To Move,2015
Super built up  Area,Whitefield,2,750,2,Yes,1,52.7,20-Dec,2017
Super built up  Area,Yelahanka,3,1400,2,Yes,2,80.54,19-Dec,2017
Super built up  Area,Sathya Sai Layout,4,4104,4,Yes,3,360,Ready To Move,2018
Built up  Area,Rajaji Nagar,4,5000,4,Yes,0,375,Ready To Move,2018
Plot  Area,Mahadevpura,5,3295,4,Yes,2,260,Ready To Move,2018
Plot  Area,A Narayanapura,4,1150,3,Yes,1,110,Ready To Move,2015
Plot  Area,Whitefield,3,1200,3,Yes,1,61.96,18-Jul,2015
Built up  Area,Poorna Pragna Layout,2,965,2,Yes,2,48,Ready To Move,2017
Plot  Area,Gottigere,1,812,1,Yes,1,26,Ready To Move,2017
Super built up  Area,KR Puram,2,1100,2,Yes,2,43,Ready To Move,2017
Super built up  Area,Whitefield,2,1180,2,Yes,2,41,Ready To Move,2017
Super built up  Area,HSR Layout,2,1145,2,Yes,2,48,Ready To Move,2017
Super built up  Area,Haralur Road,2,1027,2,Yes,1,44,Ready To Move,2017
Super built up  Area,Silk Board,2,1215,2,Yes,2,49.85,18-Apr,2017
Plot  Area,Hegde Nagar,2,1200,2,Yes,0,75,Ready To Move,2017
Super built up  Area,Kenchenahalli,2,1015,2,Yes,2,58,Ready To Move,2017
Plot  Area,Kaggalipura,3,2400,3,Yes,1,165,18-May,2015
Plot  Area,Whitefield,4,3000,4,Yes,3,306,Ready To Move,2018
Built up  Area,7th Phase JP Nagar,3,3300,4,Yes,3,160,Ready To Move,2018
Super built up  Area,Puttanahalli,2,1076,2,Yes,2,52,Ready To Move,2017
Super built up  Area,JP Nagar,2,1300,2,Yes,1,109,18-Dec,2017
Built up  Area,Hebbal Kempapura,2,1300,2,Yes,2,102,Ready To Move,2017
Super built up  Area,Hosa Road,3,1512,3,Yes,1,123,19-Jun,2015
Carpet  Area,Bhoganhalli,3,1053,3,Yes,1,88.91,18-Dec,2015
Super built up  Area,Yeshwanthpur,1,540670,1,Yes,0,41.745,Ready To Move,2017
Super built up  Area,Hormavu,2,1153,2,Yes,1,65,Ready To Move,2017
Plot  Area,Virat Nagar,2,2080,2,Yes,1,150,Ready To Move,2017
Super built up  Area,Hulimavu,2,1255,2,Yes,2,69,Ready To Move,2017
Built up  Area,Bannerghatta Road,4,315,5,Yes,,260,Ready To Move,2019
Super built up  Area,Marathahalli,3,1583,3,Yes,3,109,Ready To Move,2015
Super built up  Area,Kundalahalli Colony,2,1505,2,Yes,2,90,Ready To Move,2017
Super built up  Area,Kathriguppe,3,1365,2,Yes,2,75.08,Ready To Move,2017
Plot  Area,Dwa  a Nagar,3,1200,3,Yes,3,95.75,Ready To Move,2015
Super built up  Area,Amblipura,3,1810,4,Yes,3,148,Ready To Move,2018
Built up  Area,Magadi Road,1,440,1,Yes,0,35,Ready To Move,2017
Super built up  Area,Subramanyapura,2,975,2,Yes,1,63,Ready To Move,2017
Super built up  Area,Doddagubbi,2,1250,2,Yes,3,39,Ready To Move,2017
Super built up  Area,Gopalkrishna Nagar,3,1530,2,Yes,1,97,Ready To Move,2017
Super built up  Area,Kereguddadahalli,3,1300,2,Yes,2,39,Ready To Move,2017
Super built up  Area,Channasandra,2,1115,2,Yes,1,40,Ready To Move,2017
Super built up  Area,Sarjapur  Road,2,1308,2,Yes,1,83,Ready To Move,2017
Super built up  Area,Parappana Agrahara,2,1194,2,Yes,2,47,Ready To Move,2017
Super built up  Area,Uttarahalli,3,1490,2,Yes,2,59.6,Ready To Move,2017
Plot  Area,Bannerghatta Road,4,10000,4,Yes,0,450,Ready To Move,2018
Super built up  Area,Sarjapur  Road,3,1592,3,Yes,1,91,19-Apr,2015
Super built up  Area,Rajaji Nagar,2,1222,2,Yes,0,112,18-Jun,2017
Super built up  Area,Raja Rajeshwari Nagar,2,1267,2,Yes,2,42.85,Ready To Move,2017
Super built up  Area,Balagere,1,656,1,Yes,1,53,Ready To Move,2017
Plot  Area,Dodda Nekkundi,4,3400,4,Yes,3,530,Ready To Move,2018
Built up  Area,Garudachar Palya,4,4500,5,Yes,,400,Ready To Move,2019
Plot  Area,Chandapura,2,1200,1,Yes,1,36,18-Nov,2017
Super built up  Area,Thanisandra,3,1698,3,Yes,2,102,Ready To Move,2015
Built up  Area,Tata Nagar,3,1500,3,Yes,2,70,Ready To Move,2015
Plot  Area,Sunkadakatte,4,2000,5,Yes,0,80,Ready To Move,2019
Super built up  Area,Electronic City,2,1152,2,Yes,1,65.75,18-Mar,2017
Super built up  Area,Raja Rajeshwari Nagar,1,550,1,Yes,0,21,Ready To Move,2017
Super built up  Area,Pattandur Agrahara,2,900,2,Yes,2,42,Ready To Move,2017
Super built up  Area,Rajarajeshwari nagar,3,1410,2,Yes,2,45.12,18-Mar,2017
Built up  Area,Akshaya Nagar,3,1419,2,Yes,3,73,Ready To Move,2017
Super built up  Area,Amruthahalli,2,1200,2,Yes,1,55,Ready To Move,2017
Super built up  Area,AECS Layout,3,1800,3,Yes,3,65,Ready To Move,2015
Super built up  Area,Gottigere,2,990,2,Yes,1,40,Ready To Move,2017
Super built up  Area,Sarjapur  Road,2,1016,2,Yes,1,45,Ready To Move,2017
Super built up  Area,Bannerghatta Road,2,1100,2,Yes,0,39,Ready To Move,2017
Built up  Area,Ramamurthy Nagar,4,850,2,Yes,1,65,Ready To Move,2017
Super built up  Area,Whitefield,2,1095,2,Yes,1,35,Ready To Move,2017
Super built up  Area,Rajarajeshwarinagar,3,2000,3,Yes,2,85,Ready To Move,2015
Super built up  Area,Budigere,2,1444,2,Yes,2,70,Ready To Move,2017
Super built up  Area,Whitefield,2,1415,2,Yes,3,67,Ready To Move,2017
Plot  Area,Jinkethimmanahalli,3,1500,2,Yes,1,130,Ready To Move,2017
Super built up  Area,Daadys Gaarden Layout,3,1600,3,Yes,3,72,Ready To Move,2015
Super built up  Area,Whitefield,2,1105,2,Yes,1,41.36,Ready To Move,2017
Super built up  Area,Electronic City,3,1225,3,Yes,0,45.03,18-Dec,2015
Super built up  Area,Frazer Town,3,2560,3,Yes,2,265,Ready To Move,2015
Super built up  Area,Kanakpura Road,2,1080,2,Yes,1,37.8,Ready To Move,2017
Plot  Area,Dasarahalli,7,2400,3,Yes,3,150,Ready To Move,2015
Super built up  Area,Talaghattapura,3,1856,3,Yes,2,135,18-Aug,2015
Super built up  Area,Haralur Road,3,1464,3,Yes,2,56,Ready To Move,2015
Plot  Area,Vishwapriya Nagar,6,2100,6,Yes,2,71,Ready To Move,2019
Super built up  Area,Sarjapur  Road,2,1150,2,Yes,2,77,Ready To Move,2017
Plot  Area,Abbigere,5,1200,4,Yes,1,98,Ready To Move,2018
Super built up  Area,Whitefield,3,2538,,Yes,,113.19,18-Dec,
Super built up  Area,5th Phase JP Nagar,3,1485,2,Yes,2,67,Ready To Move,2017
Super built up  Area,Vimanapura,3,2500,3,Yes,3,75,Ready To Move,2015
Plot  Area,Whitefield,2,1200,2,Yes,1,45,18-Aug,2017
Super built up  Area,Hennur Road,2,1036,2,Yes,1,59.46,18-May,2017
Plot  Area,Whitefield,4,3445,5,Yes,3,270,Ready To Move,2019
Super built up  Area,Dodsworth Layout,2,1400,2,Yes,2,80,Ready To Move,2017
Super built up  Area,Bommanahalli,2,1110,2,Yes,2,33,18-Jul,2017
Built up  Area,Kodichikkanahalli,2,1150,2,Yes,3,48,Ready To Move,2017
Super built up  Area,Kenchenahalli,1,715,1,Yes,1,45,Ready To Move,2017
Plot  Area,Magadi Road,4,1200,4,Yes,0,130,Ready To Move,2018
Plot  Area,Rajaji Nagar,5,1200,3,Yes,1,260,Ready To Move,2015
Super built up  Area,Jakkur,4,2283,4,Yes,2,130,Ready To Move,2018
Plot  Area,1st Stage Radha Krishna Layout,6,1790,5,Yes,1,250,Ready To Move,2019
Super built up  Area,Hormavu,3,1453,2,Yes,2,43.58,18-Apr,2017
Built up  Area,Nagarbhavi,3,1400,2,Yes,1,85,Ready To Move,2017
Super built up  Area,Padmanabhanagar,3,1400,3,Yes,0,65,Ready To Move,2015
Super built up  Area,Whitefield,3,1700,3,Yes,1,140,Ready To Move,2015
Super built up  Area,Kanakpura Road,3,1591,3,Yes,1,120,18-Dec,2015
Super built up  Area,Nagarbhavi,3,1515,2,Yes,1,79,Ready To Move,2017
Built up  Area,Marathahalli,5,2500,3,Yes,3,200,Ready To Move,2015
Super built up  Area,Chandapura,2,975,2,Yes,1,24.86,18-Aug,2017
Super built up  Area,Yeshwanthpur,3,1382,2,Yes,2,76.18,Ready To Move,2017
Plot  Area,Nagasandra,7,1750,5,Yes,2,350,Ready To Move,2019
Super built up  Area,Sector 1 HSR Layout,3,1533,3,Yes,2,150,Ready To Move,2015
Super built up  Area,Cunningham Road,3,3815,3,Yes,1,763,18-Feb,2015
Super built up  Area,Amarjyothi Colony,2,1100,2,Yes,2,38,Ready To Move,2017
Super built up  Area,Dairy Circle,4,3730,6,Yes,2,450,Ready To Move,2019
Super built up  Area,Banashankari Stage II,3,1500,2,Yes,1,120,Ready To Move,2017
Super built up  Area,Yelahanka,3,1391,2,Yes,2,64.5,Ready To Move,2017
Super built up  Area,Begur Road,2,1160,2,Yes,2,42.92,Ready To Move,2017
Built up  Area,Chandapura,1,620,1,Yes,1,27,Ready To Move,2017
Plot  Area,MS Pallya,8,2400,9,Yes,3,350,Ready To Move,2021
Plot  Area,Vidyaranyapura,8,1200,7,Yes,3,130,Ready To Move,2020
Built up  Area,Whitefield,4,4827,4,Yes,3,400,18-Jun,2018
Super built up  Area,Kanakpura Road,3,1482,3,Yes,3,60.98,Ready To Move,2015
Super built up  Area,Whitefield,2,1405,2,Yes,2,84.5,Ready To Move,2017
Built up  Area,Gunjur,2,1190,2,Yes,2,40,Ready To Move,2017
Super built up  Area,Harlur,2,1174,2,Yes,1,78,Ready To Move,2017
Plot  Area,Seegehalli,2,1155,2,Yes,0,72,Ready To Move,2017
Super built up  Area,Thanisandra,3,1411,3,Yes,1,93.04,19-Mar,2015
Super built up  Area,Jalahalli West,2,745,2,Yes,0,50,Ready To Move,2017
Super built up  Area,Kereguddadahalli,2,1000,2,Yes,2,30,Ready To Move,2017
Super built up  Area,Jigani,2,923,2,Yes,1,50,Ready To Move,2017
Built up  Area,Yeshwanthpur,2,1000,2,Yes,2,32,Ready To Move,2017
Super built up  Area,Battarahalli,2,1276,2,Yes,2,45,Ready To Move,2017
Built up  Area,Devasthanagalu,3,1460,3,Yes,2,70,Ready To Move,2015
Super built up  Area,Yemlur,2,1355,2,Yes,1,95,19-Jul,2017
Super built up  Area,Avalahalli,1,833,1,Yes,1,49,Ready To Move,2017
Built up  Area,Bapuji Layout,8,1200,8,Yes,,275,Ready To Move,2020
Plot  Area,Cambridge Layout,5,1750,5,Yes,1,450,Ready To Move,2019
Super built up  Area,Ramamurthy Nagar,2,1200,2,Yes,1,48,18-Dec,2017
Super built up  Area,Yeshwanthpur,1,669,1,Yes,1,36.85,Ready To Move,2017
Plot  Area,7th Phase JP Nagar,3,2200,4,Yes,2,105,Ready To Move,2018
Super built up  Area,Koramangala,3,1594,3,Yes,,125,18-May,2015
Super built up  Area,Kothanur,3,1790,3,Yes,2,105,Ready To Move,2015
Super built up  Area,NGR Layout,2,1020,2,Yes,1,45,Ready To Move,2017
Plot  Area,Doddanekundi,4,3250,5,Yes,1,850,Ready To Move,2019
Super built up  Area,Vasantapura main road,2,1037,2,Yes,1,36.28,Ready To Move,2017
Super built up  Area,Whitefield,3,1345,2,Yes,2,57,Ready To Move,2017
Super built up  Area,Kodichikkanahalli,2,1070,2,Yes,3,43,Ready To Move,2017
Super built up  Area,Sector 6 HSR Layout,4,3000,5,Yes,,270,Ready To Move,2019
Super built up  Area,Yeshwanthpur,3,1385,2,Yes,2,76.18,Ready To Move,2017
Super built up  Area,Kanakpura Road,2,1207,2,Yes,2,79.9,Ready To Move,2017
Super built up  Area,Varthur,2,1140,2,Yes,3,55.5,Ready To Move,2017
Built up  Area,Basavanapura,2,1220,2,Yes,2,68,Ready To Move,2017
Plot  Area,CQAL Layout,4,3811,3,Yes,2,475,Ready To Move,2015
Super built up  Area,Iblur Village,4,3596,5,Yes,0,252,Ready To Move,2019
Built up  Area,Sarjapur  Road,3,1965,3,Yes,3,120,Ready To Move,2015
Built up  Area,Koramangala,3,1760,2,Yes,0,115,Ready To Move,2017
Super built up  Area,Haralur Road,2,1225,2,Yes,1,70,18-Mar,2017
Super built up  Area,Marathahalli,2,1075,2,Yes,2,52.43,Ready To Move,2017
Built up  Area,Panathur,2,1000,2,Yes,1,68,Ready To Move,2017
Super built up  Area,Hennur Road,3,1891,3,Yes,1,109,Ready To Move,2015
Super built up  Area,Yelahanka,2,1322,2,Yes,2,86,Ready To Move,2017
Plot  Area,Mathikere,3,1095,3,Yes,0,215,Ready To Move,2015
Built up  Area,Bellandur,4,3600,4,Yes,0,260,Ready To Move,2018
Super built up  Area,AECS Layout,2,1045,2,Yes,1,36.58,Ready To Move,2017
Super built up  Area,Venugopal Reddy Layout,3,1545,3,Yes,3,85,Ready To Move,2015
Super built up  Area,Thanisandra,3,1996,3,Yes,2,135,Ready To Move,2015
Super built up  Area,Brookefield,2,1125,2,Yes,2,70,Ready To Move,2017
Super built up  Area,Mysore Road,3,1560,3,Yes,1,115,18-Apr,2015
Super built up  Area,BEML Layout,3,2000,2,Yes,2,85,Ready To Move,2017
Built up  Area,Murugeshpalya,4,3100,4,Yes,2,310,Ready To Move,2018
Built up  Area,Lake City,2,780,2,Yes,1,35,Ready To Move,2017
Plot  Area,Lakshmipura,2,1350,2,Yes,1,110,Ready To Move,2017
Super built up  Area,Sarjapur  Road,3,2275,4,Yes,2,180,Ready To Move,2018
Super built up  Area,Pragathi Nagar,2,1350,2,Yes,2,41,Ready To Move,2017
Super built up  Area,Haralur Road,3,1464,3,Yes,3,56,Ready To Move,2015
Super built up  Area,Kanakpura Road,3,1570,3,Yes,3,64.5,Ready To Move,2015
Super built up  Area,Dasanapura,1,708,1,Yes,0,28.32,Ready To Move,2017
Super built up  Area,Sarjapur  Road,3,1680,3,Yes,1,160,Ready To Move,2015
Super built up  Area,Hoodi,2,1400,2,Yes,1,82,Ready To Move,2017
Super built up  Area,Bellandur,2,1310,2,Yes,2,72,Ready To Move,2017
Built up  Area,BTM Layout,6,3300,6,Yes,3,165,Ready To Move,2019
Super built up  Area,Electronics City Phase 1,2,1175,2,Yes,1,57,18-May,2017
Built up  Area,Chikkalasandra,3,1428,2,Yes,1,80,Ready To Move,2017
Plot  Area,Akshaya Nagar,4,750,4,Yes,2,62,Ready To Move,2018
Super built up  Area,Whitefield,4,3252,4,Yes,3,280,Ready To Move,2018
Super built up  Area,Haralur Road,2,1194,2,Yes,2,46,Ready To Move,2017
Plot  Area,Old Town,8,750,8,Yes,,200,Ready To Move,2020
Super built up  Area,8th Phase JP Nagar,2,1080,2,Yes,2,35,18-Jun,2017
Super built up  Area,Vijaya Bank Layout,3,1200,2,Yes,1,68,Ready To Move,2017
Plot  Area,Whitefield,2,1200,2,Yes,1,45,17-Dec,2017
Plot  Area,Okalipura,5,1200,4,Yes,3,120,Ready To Move,2018
Built up  Area,Bommasandra Industrial Area,3,1320,2,Yes,1,38.13,18-Dec,2017
Super built up  Area,Badavala Nagar,3,1842,3,Yes,2,115,20-Jan,2015
Super built up  Area,Sector 2 HSR Layout,2,1146,2,Yes,3,55,Ready To Move,2017
Super built up  Area,Rachenahalli,1,440,1,Yes,1,28,20-Aug,2017
Super built up  Area,Sahakara Nagar,2,1048,2,Yes,3,50,Ready To Move,2017
Super built up  Area,Thanisandra,3,1801,3,Yes,1,115,Ready To Move,2015
Super built up  Area,Hennur Road,2,1232,2,Yes,1,69.61,19-Mar,2017
Super built up  Area,Whitefield,2,1150,2,Yes,2,90,Ready To Move,2017
Super built up  Area,Talaghattapura,3,1868,3,Yes,1,120,21-Mar,2015
Super built up  Area,Begur,3,1445,2,Yes,2,47.1,18-Apr,2017
Super built up  Area,Hebbal Kempapura,3,1466,2,Yes,3,140,Ready To Move,2017
Built up  Area,Harlur,3,1730,3,Yes,2,100,Ready To Move,2015
Super built up  Area,JP Nagar,3,3860,3,Yes,2,402,18-Dec,2015
Super built up  Area,Somasundara Palya,2,1185,2,Yes,3,70,Ready To Move,2017
Built up  Area,Yeshwanthpur,3,3027,4,Yes,3,260,Ready To Move,2018
Built up  Area,Whitefield,4,2400,4,Yes,3,147,20-Dec,2018
Built up  Area,Kaval Byrasandra,2,1185,2,Yes,1,49,Ready To Move,2017
Super built up  Area,Hongasandra,2,1150,2,Yes,2,49,18-Aug,2017
Plot  Area,Maruthi Extension,5,2000,4,Yes,2,180,Ready To Move,2018
Plot  Area,Vidyapeeta,6,875,3,Yes,1,98,Ready To Move,2015
Super built up  Area,Pai Layout,2,1075,2,Yes,2,35,Ready To Move,2017
Super built up  Area,Hebbal,3,1760,3,Yes,2,123,Ready To Move,2015
Super built up  Area,Banashankari,2,1600,2,Yes,1,63.98,Ready To Move,2017
Plot  Area,Madiwala,4,910,4,Yes,1,140,Ready To Move,2018
Super built up  Area,Haralur Road,2,1000,2,Yes,1,78,Ready To Move,2017
Super built up  Area,7th Phase JP Nagar,2,1215,2,Yes,2,90,Ready To Move,2017
Super built up  Area,EPIP Zone,3,1734,3,Yes,3,125,Ready To Move,2015
Super built up  Area,Akshaya Nagar,2,1280,2,Yes,1,60,Ready To Move,2017
Super built up  Area,Rachenahalli,2,1113,2,Yes,1,55,Ready To Move,2017
Super built up  Area,Horamavu Banaswadi,2,1272,2,Yes,2,48,Ready To Move,2017
Built up  Area,Kereguddadahalli,3,1240,3,Yes,2,41,Ready To Move,2015
Built up  Area,Varthur,8,704,8,Yes,3,92,Ready To Move,2020
Super built up  Area,Yelahanka,2,1100,2,Yes,1,70,Ready To Move,2017
Super built up  Area,Ambalipura,2,896,2,Yes,1,30.13,19-Apr,2017
Super built up  Area,Rachenahalli,4,3657,5,Yes,,220,Ready To Move,2019
Super built up  Area,BTM 2nd Stage,2,1200,2,Yes,0,35,Ready To Move,2017
Built up  Area,Ramagondanahalli,4,2800,4,Yes,3,155,Ready To Move,2018
Super built up  Area,Hebbal,4,2790,4,Yes,3,198,19-Jun,2018
Built up  Area,Ambalipura,3,3500,3,Yes,,198,Ready To Move,2015
Built up  Area,Ramamurthy Nagar,3,3600,3,Yes,2,150,Ready To Move,2015
Built up  Area,Sarjapur,2,1500,2,Yes,2,30,Ready To Move,2017
Plot  Area,Meenakshi Layout,8,1200,7,Yes,0,220,Ready To Move,2020
Super built up  Area,S R Layout,2,1096,2,Yes,2,48,Ready To Move,2017
Built up  Area,Cholanayakanahalli,2,580,2,Yes,0,95,Ready To Move,2017
Super built up  Area,GD Layout,2,1094,2,Yes,1,44,Ready To Move,2017
Super built up  Area,Vittal Nagar,2,1100,2,Yes,2,49,Ready To Move,2017
Super built up  Area,Iblur Village,4,3250,5,Yes,0,191,Ready To Move,2019
Super built up  Area,Koramangala,4,2503,6,Yes,2,325,19-Sep,2019
Super built up  Area,Nagarbhavi,2,1145,2,Yes,2,40,Ready To Move,2017
Super built up  Area,Rachenahalli,3,1550,3,Yes,2,74.5,Ready To Move,2015
Super built up  Area,Seegehalli,3,1830,4,Yes,2,82,Ready To Move,2018
Super built up  Area,Hoodi,3,1746,3,Yes,3,84.95,19-Dec,2015
Built up  Area,Maruthi Sevanagar,4,1280,4,Yes,1,115,Ready To Move,2018
Super built up  Area,Kengeri,2,918,2,Yes,1,27.54,20-Aug,2017
Super built up  Area,Chandapura,1,645,1,Yes,1,16.45,18-Jul,2017
Super built up  Area,Banashankari Stage III,3,1305,2,Yes,1,60,Ready To Move,2017
Super built up  Area,Thigalarapalya,2,1207,2,Yes,2,62,Ready To Move,2017
Built up  Area,Thanisandra,3,1678,3,Yes,2,125,Ready To Move,2015
Super built up  Area,Kaggalipura,2,950,2,Yes,1,50,Ready To Move,2017
Plot  Area,Munnekollal,10,1200,7,Yes,,240,Ready To Move,2020
Super built up  Area,Electronic City,2,1070,2,Yes,1,55,18-Feb,2017
Super built up  Area,Ardendale,3,1732,3,Yes,2,92,Ready To Move,2015
Super built up  Area,Attibele,3,1639,2,Yes,1,40.98,Ready To Move,2017
Super built up  Area,Marathahalli,2,1360,2,Yes,1,103,Ready To Move,2017
Plot  Area,Malleshpalya,4,2592,4,Yes,2,250,Ready To Move,2018
Plot  Area,RMV 2nd Stage,3,4470,3,Yes,,700,Ready To Move,2015
Plot  Area,Kithaganur,5,720,4,Yes,3,62,Ready To Move,2018
Super built up  Area,Lakshminarayana Pura,3,1656,3,Yes,2,150,Ready To Move,2015
Super built up  Area,Sarjapur  Road,2,985,2,Yes,1,49,Ready To Move,2017
Super built up  Area,Dodda Nekkundi,3,1999,3,Yes,2,135,Ready To Move,2015
Super built up  Area,7th Phase JP Nagar,2,1050,2,Yes,1,75,Ready To Move,2017
Super built up  Area,Whitefield,3,1440,2,Yes,2,64,Ready To Move,2017
Super built up  Area,Basavangudi,3,1600,2,Yes,2,160,Ready To Move,2017
Super built up  Area,Ramagondanahalli,2,1253,2,Yes,1,52.66,17-Nov,2017
Plot  Area,Shirdi Sai Nagar,3,1200,3,Yes,0,85,Ready To Move,2015
Super built up  Area,Padmanabhanagar,3,1360,2,Yes,3,75,Ready To Move,2017
Super built up  Area,Hagadur,2,1086,2,Yes,1,47.5,Ready To Move,2017
Super built up  Area,Wilson Garden,3,1655,3,Yes,2,155,Ready To Move,2015
Plot  Area,Old Madras Road,4,2600,4,Yes,,260,17-Feb,2018
Super built up  Area,Sarjapur  Road,2,1418,2,Yes,2,78,Ready To Move,2017
Super built up  Area,Kalena Agrahara,2,1270,2,Yes,2,100,Ready To Move,2017
Super built up  Area,Begur Road,3,1410,2,Yes,3,52.17,Ready To Move,2017
Super built up  Area,"JP Nagar 7th Phase, ",2,1150,2,Yes,1,74,19-Jan,2017
Plot  Area,Ramamurthy Nagar,2,600,3,Yes,2,45,Ready To Move,2015
Built up  Area,Raghuvanahalli,3,1440,3,Yes,2,65.8,Ready To Move,2015
Plot  Area,J C Nagar,3,1200,2,Yes,0,108,Ready To Move,2017
Super built up  Area,Sadduguntepalya,2,1200,2,Yes,2,75,Ready To Move,2017
Super built up  Area,Begur Road,3,1410,2,Yes,3,50.06,Ready To Move,2017
Plot  Area,Chandapura,4,1200,5,Yes,2,92,Ready To Move,2019
Plot  Area,Jalahalli,3,600,3,Yes,2,60,Ready To Move,2015
Built up  Area,Whitefield,1,624,1,Yes,1,35,18-Dec,2017
Super built up  Area,Electronic City,2,1060,2,Yes,1,58,Ready To Move,2017
Super built up  Area,Hebbal,4,3960,5,Yes,3,386,20-Dec,2019
Plot  Area,Whitefield,2,1200,2,Yes,1,45,18-Aug,2017
Plot  Area,Vidyaranyapura,4,1200,4,Yes,2,175,Ready To Move,2018
Built up  Area,Sarjapur,4,1917,3,Yes,0,60,Ready To Move,2015
Super built up  Area,KR Puram,2,950,2,Yes,1,40,Ready To Move,2017
Plot  Area,Channasandra,2,3040,2,Yes,1,48,18-Dec,2017
Super built up  Area,BTM 2nd Stage,3,1250,3,Yes,1,50,18-May,2015
Super built up  Area,Vishwapriya Layout,2,1235,2,Yes,2,60,Ready To Move,2017
Super built up  Area,Budigere,1,722,1,Yes,0,46,Ready To Move,2017
Plot  Area,Kanakpura Road,4,2775,3,Yes,1,165,Ready To Move,2015
Built up  Area,Sarjapur  Road,2,1200,2,Yes,1,93,Ready To Move,2017
Built up  Area,Bannerghatta Road,3,1400,3,Yes,,68,Ready To Move,2015
Built up  Area,Mallathahalli,3,1225,3,Yes,3,60,Ready To Move,2015
Super built up  Area,Marathahalli,2,1220,2,Yes,1,58.5,Ready To Move,2017
Super built up  Area,Nagavarapalya,1,705,1,Yes,1,52.5,Ready To Move,2017
Super built up  Area,Battarahalli,3,1880,3,Yes,2,94.36,Ready To Move,2015
Plot  Area,Yelahanka,2,1200,2,Yes,1,70,Ready To Move,2017
Built up  Area,Doddakammanahalli,3,1550,2,Yes,1,60,Ready To Move,2017
Super built up  Area,Lingadheeranahalli,3,1893,3,Yes,1,130,Ready To Move,2015
Super built up  Area,HMT Layout,3,1650,3,Yes,2,75,Ready To Move,2015
Built up  Area,Chikkathoguru,2,1113,2,Yes,2,46,Ready To Move,2017
